Taxi Rank,Time the taxi join the queue,,,Number of passengers alighting,Time the 1st passenger boards the taxi,Vehicle Registration ,Destination,Single Fare,Route number/code,Number of passengers in taxi when it departs,Time the taxi departs,Date,Survey Period,Key
Bergzicht,15:49:00,,15.82,0,16:07:00,VKERWEIWP,IDAS VALLEY,9,630,14,16:14:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,15:50:00,,15.83,0,16:14:00,CL24830,IDAS VALLEY,9,630,14,16:22:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,15:51:00,,15.85,0,16:45:00,CL283WP,KYLEMORE,13,668,15,16:52:00,18-Jun-18,Weekday PM,18Jun-668-Weekday PM-Bergzicht
Bergzicht,15:52:00,,15.87,0,16:20:00,CL53491,IDAS VALLEY,9,630,14,16:28:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,15:52:00,,15.87,0,16:28:00,CL651WP,IDAS VALLEY,9,630,15,16:33:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,15:54:00,,15.9,0,16:34:00,CL69021,IDAS VALLEY,9,630,15,16:42:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,15:54:00,,15.9,0,16:02:00,CL32085,KAYAMANDI,10,676,16,16:10:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,15:55:00,,15.92,0,0:00:00,CL18264,IDAS VALLEY,9,630,14,16:46:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,15:55:00,,15.92,6,16:34:00,CL82983,CLOETESVILLE,9,665,14,16:38:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,15:55:00,,15.92,0,16:04:00,CF64390,KAYAMANDI,10,676,16,16:10:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,15:55:00,,15.92,0,16:11:00,CL13220,KAYAMANDI,10,676,16,16:13:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,15:55:00,,15.92,0,16:09:00,CL67019,KAYAMANDI,10,676,15,16:14:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,15:58:00,,15.97,0,16:10:00,CL73039,KAYAMANDI,10,676,16,16:20:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,15:59:00,,15.98,0,16:53:00,CL55040,KYLEMORE,13,668,16,16:59:00,18-Jun-18,Weekday PM,18Jun-668-Weekday PM-Bergzicht
Bergzicht,15:59:00,,15.98,0,16:15:00,CL41035,KAYAMANDI,10,676,15,16:19:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:01:00,,16.02,0,16:20:00,CL31110,KAYAMANDI,10,676,16,16:23:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:01:00,,16.02,0,16:32:00,CF90182,EERSTERIVIER,10,none,16,16:49:00,18-Jun-18,Weekday PM,18Jun-none-Weekday PM-Bergzicht
Bergzicht,16:03:00,,16.05,0,16:39:00,CL40350,CLOETESVILLE,9,636,15,16:41:00,18-Jun-18,Weekday PM,18Jun-636-Weekday PM-Bergzicht
Bergzicht,16:03:00,,16.05,0,16:41:00,CL74694,CLOETESVILLE,9,665,14,16:42:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,16:10:00,,16.17,0,16:28:00,CL52650,KAYAMANDI,10,676,16,16:34:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:10:00,,16.17,0,16:23:00,CL80372,KAYAMANDI,10,676,16,16:28:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:11:00,,16.18,0,16:38:00,CL13453,KYLEMORE,13,668,16,16:45:00,18-Jun-18,Weekday PM,18Jun-668-Weekday PM-Bergzicht
Bergzicht,16:12:00,,16.2,0,16:12:00,CL75723,JAMESTOWN,10,670,16,16:15:00,18-Jun-18,Weekday PM,18Jun-670-Weekday PM-Bergzicht
Bergzicht,16:12:00,,16.2,0,16:14:00,CL49798,JAMESTOWN,10,670,16,16:40:00,18-Jun-18,Weekday PM,18Jun-670-Weekday PM-Bergzicht
Bergzicht,16:19:00,,16.32,0,16:20:00,CL77074,KAYAMANDI,10,676,16,16:27:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:19:00,,16.32,0,16:43:00,CFM46828,SOMERSET WEST,15,none,16,16:47:00,18-Jun-18,Weekday PM,18Jun-none-Weekday PM-Bergzicht
Bergzicht,16:20:00,,16.33,0,16:29:00,CL39940,KAYAMANDI,10,676,16,16:34:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:20:00,,16.33,0,16:34:00,CL55069,KAYAMANDI,10,676,15,16:36:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:21:00,,16.35,0,16:35:00,CF175499,KAYAMANDI,10,676,16,16:38:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:22:00,,16.37,0,17:04:00,CL61881,KYLEMORE,13,668,16,17:08:00,18-Jun-18,Weekday PM,18Jun-668-Weekday PM-Bergzicht
Bergzicht,16:23:00,,16.38,0,17:00:00,KYTA1WP,KYLEMORE,13,668,16,17:04:00,18-Jun-18,Weekday PM,18Jun-668-Weekday PM-Bergzicht
Bergzicht,16:24:00,,16.4,0,17:02:00,CL283WP,KYLEMORE,13,668,16,17:15:00,18-Jun-18,Weekday PM,18Jun-668-Weekday PM-Bergzicht
Bergzicht,16:24:00,,16.4,0,16:36:00,CL23558,KAYAMANDI,10,676,16,16:40:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:25:00,,16.42,,,CL53622,,,none,,16:45:00,18-Jun-18,Weekday PM,18Jun-none-Weekday PM-Bergzicht
Bergzicht,16:26:00,,16.43,0,16:39:00,CL53622,KAYAMANDI,10,676,15,16:41:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:29:00,,16.48,0,16:42:00,CL44603,CLOETESVILLE,9,636,13,16:45:00,18-Jun-18,Weekday PM,18Jun-636-Weekday PM-Bergzicht
