Taxi Rank,Time the taxi join the queue,,Time in hours,Number of passengers alighting,Time the 1st passenger boards the taxi,Vehicle Registration ,Destination,Single Fare,Route number/code,Number of passengers in taxi when it departs,Time the taxi departs,Date,Survey Period,Key,Column1,Date; Route Number; Survey Period; Taxi Rank
Bergzicht,12:39,,12.65,0,12:40:00,CF64390,KAYAMANDI,10,676,15,12:45:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:40,,12.67,0,13:10:00,CL37650,KYLEMORE,13,668,15,13:23:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
Bergzicht,12:40,,12.67,0,12:40:00,CL70054,KAYAMANDI,10,676,15,12:45:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:40,,12.67,0,12:41:00,CL82364,KAYAMANDI,10,676,15,12:45:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:40,,12.67,0,13:31:00,CL66300,IDAS VALLEY,9,686,14,13:36:00,30-Jun-18,Saturday,30Jun-686-Saturday-Bergzicht,,
Bergzicht,12:41,,12.68,0,12:43:00,DINGE1WP,KAYAMANDI,10,676,15,12:48:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:41,,12.68,0,12:44:00,CL53622,KAYAMANDI,10,676,15,12:48:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:41,,12.68,0,12:44:00,CL15774,KAYAMANDI,10,676,15,12:50:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:42,,12.7,0,12:42:00,CL40350,CLOETESVILLE,9,636,15,12:45:00,30-Jun-18,Saturday,30Jun-636-Saturday-Bergzicht,,
Bergzicht,12:42,,12.7,0,12:47:00,CL59948,KAYAMANDI,10,676,15,12:51:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:42,,12.7,0,12:50:00,CL77394,KAYAMANDI,10,676,15,12:53:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:44,,12.73,10,12:51:00,CL55423,CLOETESVILLE,9,665,15,12:50:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,12:45,,12.75,16,12:40:00,CL31272,DEVON VALLEY,10,664,16,15:53:00,30-Jun-18,Saturday,30Jun-664-Saturday-Bergzicht,,
Bergzicht,12:45,,12.75,7,12:53:00,THURLOWP,CLOETESVILLE,9,665,15,12:57:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,12:45,,12.75,4,12:57:00,CL44770,CLOETESVILLE,9,665,15,13:00:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,12:45,,12.75,0,12:58:00,GEORGE3WP,CLOETESVILLE,9,665,15,13:04:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,12:45,,12.75,0,12:50:00,CF145445,KAYAMANDI,10,676,15,12:54:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:47,,12.78,0,12:51:00,CL68850,KAYAMANDI,10,676,15,12:55:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:48,,12.8,0,12:54:00,CL59259,KAYAMANDI,10,676,15,13:00:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:49,,12.82,0,12:54:00,CL46850,KAYAMANDI,10,676,15,13:02:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:50,,12.83,0,13:32:00,CF101707,SOMERSET WEST,15,none,16,13:47:00,30-Jun-18,Saturday,30Jun-none-Saturday-Bergzicht,,
Bergzicht,12:50,,12.83,0,13:22:00,CL53080,SOMERSET WEST,15,T43,16,13:32:00,30-Jun-18,Saturday,30Jun-T43-Saturday-Bergzicht,,
Bergzicht,12:51,,12.85,0,13:14:00,CF90182,EERSTERIVIER,9,none,14,13:32:00,30-Jun-18,Saturday,30Jun-none-Saturday-Bergzicht,,
Bergzicht,12:51,,12.85,0,13:47:00,CL24792,SOMERSET WEST,15,none,16,13:54:00,30-Jun-18,Saturday,30Jun-none-Saturday-Bergzicht,,
Bergzicht,12:52,,12.87,0,13:54:00,CFM18758,SOMERSET WEST,15,278,16,13:59:00,30-Jun-18,Saturday,30Jun-278-Saturday-Bergzicht,,
Bergzicht,12:53,,12.88,0,12:53:00,LKS1WP,JAMESTOWN,10,670,15,13:05:00,30-Jun-18,Saturday,30Jun-670-Saturday-Bergzicht,,
Bergzicht,12:54,,12.9,0,13:04:00,CL82983,CLOETESVILLE,9,665,15,13:07:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,12:54,,12.9,0,,,KAYAMANDI,10,676,15,,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:55,,12.92,0,13:06:00,CL48819,CLOETESVILLE,9,636,15,13:11:00,30-Jun-18,Saturday,30Jun-636-Saturday-Bergzicht,,
Bergzicht,12:55,,12.92,0,13:05:00,CL44815,CLOETESVILLE,9,665,15,13:09:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,12:56,,12.93,16,13:11:00,3JACOBSWP,CLOETESVILLE,9,665,15,13:14:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,12:56,,12.93,0,12:56:00,CL42487,KAYAMANDI,10,676,15,12:58:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:58,,12.97,0,13:00:00,CL77108,KAYAMANDI,10,676,15,13:04:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:59,,12.98,16,13:00:00,CL55497,VLOTTENBURG,10,663,16,13:04:00,30-Jun-18,Saturday,30Jun-663-Saturday-Bergzicht,,
